line_number,original_line
570736,"5pk5zrd00wwjkgeb.f3yh28p1k15j2h8p.s.radiantsands.com,1721395145,191\025\010\184\009=$\181\180\230\252\246d\134\245Y"
570737,"5pk5zrd00wwjkgeb.f3yh28p1k15j2h8p.s.radiantsands.com,1721395145,B\168\164\\\214\237\130\176\185L\010g\144\167\026\021"
594841,"678yulechengzaixianyule.xindongneng.com,1721256346,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
634499,"70-226-66-152.wigner.bme.hu,1721273219,herczeg d\195\161niel g\195\161bor"
640105,"737yulecheng.xindongneng.com,1721439063,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
646205,"778gamebocai.xindongneng.com,1721308735,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
671548,"7db24a1f-1cdd-4190-89ec-b2765dadb2cd.random.furnell.org,1721399322,v=spf1\194\160include:_spf.hostedemail.com\194\160~all"
685496,"7db24a1f-1cdd-4190-89ec-b2765dadb2cd.random.powerlink.cn,1721371979,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
692941,"7db24a1f-1cdd-4190-89ec-b2765dadb2cd.random.thinkers.com.cn,1721390305,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
696457,"7db24a1f-1cdd-4190-89ec-b2765dadb2cd.random.wakacje-sardynia.pl,1721364777,v=spf1 include:_spf.google.com ~all\009"
698106,"7db24a1f-1cdd-4190-89ec-b2765dadb2cd.random.xn--80aafe8cxab8h.xn--p1ai,1721392204,v=spf1 redirect=_spf.yandex.net\009"
705377,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.portbay.trade,1721508473,003\225\137ur\171\146D&\168ca8\017\210"
705378,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.portbay.trade,1721508473,0S\245\169\031\239\007\011\201\204\192\2522J\236\208"
705379,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.portbay.trade,1721508473,136\226\176\164et\020l-a/pe:\179\231"
705380,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.portbay.trade,1721508473,160\230\219\147b\2156Ms@\181\174~8\2438"
705381,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.portbay.trade,1721508473,218NZi\198%\152\197\227\129\228\225*\170\0159"
705382,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.portbay.trade,1721508473,231\128\189\031\127_V\170\168~X-J)\188\165"
705383,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.portbay.trade,1721508473,F.x\169N\1983s\159\030\177\182\154\203\236c"
705384,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.portbay.trade,1721508473,Kv\199\244\241O\215\009\232\177\168\197\214jc9"
705385,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.royalflora.pw,1721226887,2\160\242\154\232\030=\1554^b\010\237\015N\199"
705386,"7jtyanavy4zwjmzs.txw2c33d8pb99ve2.s.royalflora.pw,1721226887,i\242\148\185\133\015~O\023\015\011\162\249=\128t"
709423,"7pexa4fhqyt5z9tf.gwcw1vcc961yv42m.s.mountainsights.top,1721339498,174\135P&\234\160i\187\196\175\018|\165\242\153\160"
709424,"7pexa4fhqyt5z9tf.gwcw1vcc961yv42m.s.mountainsights.top,1721339498,i \173A\158\184pz\009e&+9 \161x"
709699,"7psyz.counting-cards.com,1721576154,google-site-verification=ycqrwPsPgx_KgGyF_7A4G-ELyDHYXoCoQZsn8BNh7mQ\010"
711476,"7star.cn,1721080883,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
718619,"82-225-66-152.wigner.bme.hu,1721547732,dominek vir\195\161g d\195\179ra"
743310,"8sd7wrr2x75hpnnc.5mzk3131qsh2aga1.s.portbay.trade,1721471001,135\029\181\226 V\213\213\243q\255\194f\019C\222"
743311,"8sd7wrr2x75hpnnc.5mzk3131qsh2aga1.s.portbay.trade,1721471001,249\014\152K\219\220\008\026H\220{\1837\128\147\006"
743312,"8sd7wrr2x75hpnnc.5mzk3131qsh2aga1.s.portbay.trade,1721471001,5\197\242\028Q\222Y\241\024/X\138\136\223\240\135"
743313,"8sd7wrr2x75hpnnc.5mzk3131qsh2aga1.s.portbay.trade,1721471001,Z\172G9;\224|\244\180(\134\011\185R\145]"
750703,"911occasion.fr,1721003938,t|Speed Star - Sp\195\169cialiste Porsche \195\160 Paris"
760809,"99zhenrenbocai.xindongneng.com,1721592712,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
761540,"9b8wcvxqn36htj4c.rj1ea7b6gkvskswc.s.radiantsands.com,1721553528,)\159\015\174\139\026W\221N\166\173\142N\000\188="
761541,"9b8wcvxqn36htj4c.rj1ea7b6gkvskswc.s.radiantsands.com,1721553528,010D\247\024\\I\138\021\213\028\203\006wN\009\004"
761542,"9b8wcvxqn36htj4c.rj1ea7b6gkvskswc.s.radiantsands.com,1721553528,1377\210:m\173\141(B\226\165u\013\029\015s"
761543,"9b8wcvxqn36htj4c.rj1ea7b6gkvskswc.s.radiantsands.com,1721553528,146\246\197u\1848\129\214\209\147\149\250&\242v\128"
764269,"9fqaghv65ks56yap.ybw412gwnpshgtka.s.mydiscovery.site,1721381659,""234\178\184RX\\\193\155\""""\030$$\017\208r\012"""
764270,"9fqaghv65ks56yap.ybw412gwnpshgtka.s.mydiscovery.site,1721381659,235u\128\209\187\182W\171\195\137\252\183\024\016\210u"
764271,"9fqaghv65ks56yap.ybw412gwnpshgtka.s.mydiscovery.site,1721381659,Nh\007\196\189^EH\207\167\167jM&\215\017"
764272,"9fqaghv65ks56yap.ybw412gwnpshgtka.s.mydiscovery.site,1721381659,[>\021\190\183\181Gb^\147} \011d\193\152"
768282,"9n.de,1721041920,apple-domain-verification=iXjUBTIYLv9jAANc\009"
780890,"a-vohwinkel.de,1721185717,""_acme-challenge.a-vohwinkel.de. IN TXT """" """"Aw0nHGD1vd9yNI_9gIR_3ZpU8N-bpL6ocXx6sQbvaMs"""" """"\010@                    60         IN TXT   """" """"_acme-challenge.a-vohwinkel.de."""" """"IN"""" """"TXT"""" """"n_Oa-b8MpCity7TwpwC3Q_Zx75lw4r71eSJ0GM1_NNo"""
784515,"a1a777com.xindongneng.com,1721547357,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
789651,"a2l13.counting-cards.com,1721605788,google-site-verification=ycqrwPsPgx_KgGyF_7A4G-ELyDHYXoCoQZsn8BNh7mQ\010"
800886,"aabdcegypt.com,1721106130,pinterest-site-verification=672b20cd00e87f8401e40b5a7a0aaf4f \195\162\197\190\226\128\162"
829673,"abo.com.cn,1721054201,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
844257,"academiaeixosp.com.br,1721160603,v=spf1 a mx include:_spf.rdstation.com.br include:sendgrid.net include:_spf.locaweb.com.br include:_spf.google.com include:smtplw-06.com include:amazonses.com \203\156all"
844337,"academiaibhservicos.com.br,1721168210,v=spf1 a mx include:_spf.rdstation.com.br include:sendgrid.net include:_spf.locaweb.com.br include:_spf.google.com include:smtplw-06.com include:amazonses.com \203\156all"
846760,"acapelstore.com.br,1721543949,226\128\156v=spf1 mx include:_spf.tray.com.br -all\226\128\157"
847163,"acasabrasileira.com.br,1721031332,v=spf1 include:_spf.google.com \203\156al"
848160,"acc.org.cn,1721024938,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
849776,"accenttx.com,1721011237,TXT \\5iqbdPP5C5JO"
849986,"accept.tronsoeskolen.com,1721253366,google-site-verification=L-9MnLN2HHULWEINs8NIjYbtJji3U26Np7iLMLcNw_Y\010"
862361,"aceenglish.in,1721085285,""v=spf1"""" """"include:zoho.in"""" """"+a"""" """"+mx"""" """"+ip4:173.249.40.210"""" """"X[\027"""
868805,"acquamania.com.br,1721134010,google-site-verification=G2LvR5JRHYjqBcd3LLjI67-0lc6eoLkJcCP...\010v=spf1 include:spf.whservidor.com include:_spf.kmitd.com ?all"
873164,"actone3d.com.br,1721311928,v=spf1 a mx ip4:179.190.21.18\226\128\157 ~all"
873861,"acuitevisuelle.be,1721013822,t|Acuit\195\131\194\169 Visuelle"
873920,"acuityplatform.com,1721088958,_globalsign-domain-verification=GlL7qviwa_wNYjrfBzUXiDKyewd\013\010br3Ihrnq9PsqOEx"
877648,"adamsystems.eu,1721146540,v=spf1 +a +mx  +ip4:198.251.88.33\010 +ip4:192.168.168.2 ~all"
878244,"adaptivestrategies.com.au,1721192339,v=spf1 ip4:116.90.63.71\010 include:spf.protection.outlook.com -all"
879708,"addictedmonth.store,1721006780,v=spf1 include:spf.protection.outlook.com include:_spf.google.com include:v6.nilyass.jojoblog.online\226\128\142 mx:addictedmonth-store.mail.protection.outlook.com ~all"
880196,"addrelevance.ai,1721016376,v=spf1 mx a a:smtp.nucleus.be a:smtp-out.nucleus.be \226\128\147all"
882866,"adidas.com,1721075925,omqf750drkr85rj66q10dw6jxdxzlnb1gq\010"
890392,"administration.pl,1721101167,226\128\156MS=ms16632452\226\128\157"
895359,"adsense.com.my,1721100534,v=spf1 +a +mx +ip4:103.133.133.239\009 ~all"
901832,"adstat.pro,1721108793,v=spf1 ip4:77.105.141.246 include:mail.zendesk.com\010\010 ~all"
903968,"advancedradarcompany.com,1721048534,226\128\156v=DMARC1; p=none; rua=mailto:dmarc_rua@emaildefense.proofpoint.com; ruf=mailto:dmarc_ruf@emaildefense.proofpoint.com; fo=1\226\128\157"
904657,"advantech.gr,1721234799,_dmarc.advantech.gr\013\010v=DMARC1; p=none; \013\010"
904659,"advantech.my,1721192700,239\191\189v=spf1amx-all\239\191\189"
909269,"aegiis.in,1721311921,v=spf1 include:zohomail.com\194\160~all"
909488,"aegservice-kountos.gr,1721235381,v=DKIM1; k=rsa;\010p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQDvSBVRban7Udjj83wMazR86hLQ1dlvazCspNzxjQEONAqoUXmKzkkXOf557WDfD2MHak2dYP+txFflixEV4Qz2wqnwlg0ivqS+LFzOUgfaH6ufyoAdkmixIrVusJKmlVPNzWFVaxUmsifpFp7jqmXD8+Q40u9gdpowq5GAV2DjxQIDAQAB"
917909,"afmcdg1d.gov.in,1721042889,v=spf1\009-all"
918443,"afra.heberdomaine.net,1721359805,v=spf1 +a +mx +ip4: 144.76.17.251\010include:_spf.google.com ~all"
919459,"afriqpnb.com,1721007362,d|Logements meubl\195\169s en ligne"
919460,"afriqpnb.com,1721007362,""k|AfriqPnB, Africa, meubl\195\169s, original,airbnb,booking"""
923552,"ag.spb.ru,1721273333,""ag.spb.ru._domainkey    IN      TXT     ( \""""v=DKIM1; k=rsa; \""""\013\010          \""""p=MIGfMA0GCSqGSIb3DQEBAQUAA4GNADCBiQKBgQCVkWzQizwAbhIpMIMZ4xBhx3AbKqAQ55zZMYl2aMFefnWXjmSh11taMqoRiJ7pKbFwod1iwd1hsOSARsYUyfo9AxzDAqJozGmZpux/XCE1K1\013\010MthqywO8bzleiLLP5OdZGqr5KPTNVtgT"""" """"P8Th+QhJpYmYptB2YL83AhX0ZCJL7VswIDAQAB\"""" )  ; ----- DKIM key ag.spb.ru for spb.ru\013\010\013\010"""
925112,"age-agency.com,1721110737,226\128\156v=spf1 mx ~all\226\128\157"
925703,"agence-creation-site-internet-riom-63.ovh,1721071340,d|\240\159\140\142 Agence de cr\195\169ation site internet Riom | Cr\195\169ation site e-commerce - Positionnement Google"
925704,"agence-creation-site-internet-riom-63.ovh,1721071340,""k|Agence de cr\195\169ation site internet Riom, Cr\195\169ation site e-commerce riom, Positionnement Google riom"""
925705,"agence-creation-site-internet-riom-63.ovh,1721071340,t|\240\159\140\142 Agence de cr\195\169ation site internet Riom | Cr\195\169ation site e-commerce - Positionnement Google"
925801,"agence-leon.fr,1721151523,2|agence-\195\131\194\167.fr"
933218,"agrobiomics.com,1721400947,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
942521,"aidmedicale.com,1721152030,""d|Aid'Medicale - Vente, location et SAV de mat\195\131\194\169riel m\195\131\194\169dical - Dunkerque, Lille, Nord"""
942522,"aidmedicale.com,1721152030,k|materiel medical sant\195\131\194\169 handicap fauteuil roulant lit m\195\131\194\169dicalis\195\131\194\169"
942523,"aidmedicale.com,1721152030,""t|Aid'Medicale - Vente, location et SAV de mat\195\131\194\169riel m\195\131\194\169dical - Dunkerque, Lille, Nord"""
944547,"aiksow.pk,1721051002,v=spf1 a mx ip4:62.72.57.151 ip6:2a02:4780:12:1a80::1 \010~all"
945390,"aimeetnow.com,1721400976,v=spf1 +mx +a +ip4:23.254.211.173 include:sparkpostmail.com\194\160~all"
945391,"aimeetnow.net,1721486028,v=spf1 +mx +a +ip4:23.254.211.173 include:sparkpostmail.com\194\160~all"
951290,"airsoft-tactic.ro,1721308022,1\010Select record type:\010Learn more\0102\010Sign in to your domain name provider (e.g. godaddy.com or namecheap.com)\0103\010Copy the TXT record below into the DNS configuration for airsoft-tactic.ro\010google-site-verification=DjduwZimjwCoSMokbWpyS1Qow_nxBMfsURdAXdsRpLE\0104"
954751,"aiyingyulechengzhenrenbaijiale.xindongneng.com,1721604774,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
954866,"aizap.it,1721494317,226\128\156v=spf1 a mx include:spf-c.mailbaby.net ~all\226\128\157"
957478,"ajums.ac.ir,1721072435,<!-- Global site tag (gtag.js) - Google Analytics -->\010<"
958979,"akapustyan.com,1721095536,v=spf1 redirect=nicmail.ru\194\187"
958998,"akarapattaya.ru,1721069110,-----BEGIN CERTIFICATE-----\010MIIHpzCCBo+gAwIBAgIMbhaiF/9lTrwBOq8FMA0GCSqGSIb3DQEBCwUAMFMxCzAJ\010BgNVBAYTAkJFMRkwFwYDVQQKExBHbG9iYWxTaWduIG52LXNhMSkwJwYDVQQDEyBH\010bG9iYWxTaWduIEdDQyBSMyBEViBUTFMgQ0EgMjAyMDAeFw0yNDA3MTUwNTM1MzBa\010Fw0yNTAyMTQwNTM1MzBaMB4xHDAaBgNV"
963361,"aktivesvertragsmanagement.de,1721194273,""_token._dnswl.concedra.de.\009\009IN\009TXT\009\""""3652u1njc27uib49o2ytoloafz1gg8hk"""
966949,"alarmes-lyon.com,1721152537,d|La s\195\131\194\169curit\195\131\194\169 clef en main"
967372,"alastairc.uk,1721104455,""alastairc.uk.\009CAA\0090 issue \""""letsencrypt.org"""
968363,"albatross.cn,1721042515,""229\159\159\229\144\141\229\143\175\229\135\186\229\148\174,\232\129\148\231\179\187\233\130\174\231\174\177 mail@net7.net \229\190\174\228\191\161 18653356707"""
969754,"alcapainvest.com,1721129224,t|Coldwell Banker\195\130\194\174 Alcapa Invest"
972432,"aleo.ro,1721101333,v=spf1 +mx +a +ip4:188.241.118.152 +ip4:185.125.110.63 +ip4:89.46.7.35\010+ip4:93.119.152.25 +ip4:93.119.152.1 +include:midas.hosterion.net\010+include:newsman.app include:newsman.app ~all"
980015,"alienorlegroupe.com,1721151888,k|alienor Ali\195\131\194\169nor groupe musique chanson fran\195\131\194\167aise concert live fluo paris clip"
986080,"allenpayton.com,1721114159,google-site-verification=7HdkUX7_3FECxbWzq3KQEXzJoDP-BqDp4Qkz-pRZiyQ\010"
991707,"alltradescontracts.co.uk,1721137055,v=spf1 a mx ip4:199.253.28.50\226\128\157include:relay.mailbaby.net\226\128\157 ip6:0:0:0:0:0:0:0:1 ~all"
